Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.00000000000000e+09	(-5.69595689609232e+00dB,-1.14013309470623e+02°)	(-2.35627541154485e+01dB,4.92693688776031e+01°)	(2.10978963870125e+01dB,1.11008971247780e+02°)	(-5.97502557698869e+00dB,-5.81384288499614e+01°)
1.00023028502082e+09	(-5.69646045752497e+00dB,-1.14029850304965e+02°)	(-2.35618410550637e+01dB,4.92664224740978e+01°)	(2.10964893072091e+01dB,1.11000160334328e+02°)	(-5.97666269158066e+00dB,-5.81448798550301e+01°)
1.00046062307284e+09	(-5.69696395522194e+00dB,-1.14046391882858e+02°)	(-2.35609280866506e+01dB,4.92634766631059e+01°)	(2.10950820142023e+01dB,1.10991349052192e+02°)	(-5.97830010309622e+00dB,-5.81513308697384e+01°)
1.00069101416826e+09	(-5.69746738501311e+00dB,-1.14062934012577e+02°)	(-2.35600151866764e+01dB,4.92605317974276e+01°)	(2.10936745314890e+01dB,1.10982537754158e+02°)	(-5.97993782013868e+00dB,-5.81577815271275e+01°)
1.00092145831930e+09	(-5.69797074679260e+00dB,-1.14079476688064e+02°)	(-2.35591023543842e+01dB,4.92575878873261e+01°)	(2.10922668597903e+01dB,1.10973726450477e+02°)	(-5.98157584291383e+00dB,-5.81642318174015e+01°)
1.00115195553817e+09	(-5.69847404045542e+00dB,-1.14096019903258e+02°)	(-2.35581895890210e+01dB,4.92546449430638e+01°)	(2.10908589998238e+01dB,1.10964915151396e+02°)	(-5.98321417163761e+00dB,-5.81706817307844e+01°)
1.00138250583710e+09	(-5.69897723339746e+00dB,-1.14112563818997e+02°)	(-2.35572769018021e+01dB,4.92517028434833e+01°)	(2.10894509403381e+01dB,1.10956103735746e+02°)	(-5.98485283004897e+00dB,-5.81771310615346e+01°)
1.00161310922831e+09	(-5.69948036208303e+00dB,-1.14129108447150e+02°)	(-2.35563643027512e+01dB,4.92487613880118e+01°)	(2.10880426712737e+01dB,1.10947292002941e+02°)	(-5.98649178635619e+00dB,-5.81835803525473e+01°)
1.00184376572403e+09	(-5.69998338577106e+00dB,-1.14145653578266e+02°)	(-2.35554517575736e+01dB,4.92458211400930e+01°)	(2.10866342268898e+01dB,1.10938480516412e+02°)	(-5.98813108124937e+00dB,-5.81900286844239e+01°)
1.00207447533648e+09	(-5.70048637748886e+00dB,-1.14162199242852e+02°)	(-2.35545392870809e+01dB,4.92428816882105e+01°)	(2.10852255863388e+01dB,1.10929668864628e+02°)	(-5.98977065091179e+00dB,-5.81964771529465e+01°)
1.00230523807790e+09	(-5.70098930463554e+00dB,-1.14178745601397e+02°)	(-2.35536269024798e+01dB,4.92399429113136e+01°)	(2.10838167383783e+01dB,1.10920856926527e+02°)	(-5.99141051905715e+00dB,-5.82029255522108e+01°)
