Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
1.00000000000000e+08	6.87802508879183e-01,-1.86732262256458e-01	1.35800279300318e-03,1.09346213261922e-02	-2.02497178478685e+01,3.54606651465163e+00	9.50192504391284e-01,-1.47414880343914e-01
1.00023028502082e+08	6.87788703405028e-01,-1.86773138897600e-01	1.35860301226387e-03,1.09370497738532e-02	-2.02494708338142e+01,3.54684523414376e+00	9.50182091055256e-01,-1.47447231511928e-01
1.00046062307284e+08	6.87774891675265e-01,-1.86814024077552e-01	1.35920350544074e-03,1.09394787186003e-02	-2.02492237063824e+01,3.54762412560536e+00	9.50171672933211e-01,-1.47479590142648e-01
1.00069101416826e+08	6.87761074138060e-01,-1.86854916275071e-01	1.35980425259123e-03,1.09419081649162e-02	-2.02489764755997e+01,3.54840315211013e+00	9.50161250414187e-01,-1.47511954483898e-01
1.00092145831930e+08	6.87747250589190e-01,-1.86895816504349e-01	1.36040525802180e-03,1.09443381117962e-02	-2.02487291390170e+01,3.54918232140103e+00	9.50150823482198e-01,-1.47544324099454e-01
1.00115195553817e+08	6.87733420741601e-01,-1.86936725207843e-01	1.36100654197388e-03,1.09467685551362e-02	-2.02484816869381e+01,3.54996167058512e+00	9.50140391636640e-01,-1.47576702005836e-01
1.00138250583710e+08	6.87719584813602e-01,-1.86977641889872e-01	1.36160809114602e-03,1.09491994978425e-02	-2.02482341258347e+01,3.55074117496785e+00	9.50129955188203e-01,-1.47609086428240e-01
1.00161310922831e+08	6.87705742754447e-01,-1.87018567066301e-01	1.36220990271476e-03,1.09516309404639e-02	-2.02479864568143e+01,3.55152082915211e+00	9.50119514263637e-01,-1.47641476257214e-01
1.00184376572403e+08	6.87691895008383e-01,-1.87059498671226e-01	1.36281196498188e-03,1.09540628859526e-02	-2.02477386862790e+01,3.55230061146219e+00	9.50109068978331e-01,-1.47673871820168e-01
1.00207447533648e+08	6.87678040907173e-01,-1.87100439220332e-01	1.36341430379594e-03,1.09564953285812e-02	-2.02474908009971e+01,3.55308056925639e+00	9.50098618881877e-01,-1.47706274711588e-01
1.00230523807790e+08	6.87664180589598e-01,-1.87141388196032e-01	1.36401691357796e-03,1.09589282696997e-02	-2.02472428038246e+01,3.55386069207851e+00	9.50088164075450e-01,-1.47738684535708e-01
