Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
5.00000000000000e+08	2.25123050155082e-01,-5.77037107994323e-01	2.18300010718701e-02,3.96127029448032e-02	-1.19593494506380e+01,1.13657592104613e+01	6.00354680872205e-01,-4.69138152638297e-01
5.00115142510412e+08	2.24980417368730e-01,-5.77059738586905e-01	2.18364829268566e-02,3.96171602015443e-02	-1.19567880352321e+01,1.13664086859542e+01	6.00246430831706e-01,-4.69163331782857e-01
5.00230311536420e+08	2.24837765802322e-01,-5.77082336629963e-01	2.18429658096344e-02,3.96216167193458e-02	-1.19542262610029e+01,1.13670576496201e+01	6.00138165790737e-01,-4.69188489432406e-01
5.00345507084129e+08	2.24695098150730e-01,-5.77104901354271e-01	2.18494495746566e-02,3.96260726660712e-02	-1.19516642009004e+01,1.13677060656357e+01	6.00029888563890e-01,-4.69213622946836e-01
5.00460729159648e+08	2.24552414722671e-01,-5.77127432655585e-01	2.18559342060289e-02,3.96305280595467e-02	-1.19491018629371e+01,1.13683539300597e+01	5.99921599452768e-01,-4.69238732058218e-01
5.00575977769084e+08	2.24409715499249e-01,-5.77149929394194e-01	2.18624197652116e-02,3.96349828396450e-02	-1.19465392204956e+01,1.13690012590098e+01	5.99813296573864e-01,-4.69263819903195e-01
5.00691252918549e+08	2.24266996676347e-01,-5.77172394858791e-01	2.18689063408196e-02,3.96394368796502e-02	-1.19439762210092e+01,1.13696480719928e+01	5.99704979573987e-01,-4.69288884140926e-01
5.00806554614154e+08	2.24124264732531e-01,-5.77194823855182e-01	2.18753937602096e-02,3.96438904140969e-02	-1.19414129633548e+01,1.13702943298595e+01	5.99596649736503e-01,-4.69313927610704e-01
5.00921882862013e+08	2.23981514133906e-01,-5.77217222403697e-01	2.18818820869054e-02,3.96483433220104e-02	-1.19388493993006e+01,1.13709400438185e+01	5.99488308566212e-01,-4.69338943533787e-01
5.01037237668239e+08	2.23838746918471e-01,-5.77239587667559e-01	2.18883713301165e-02,3.96527956154492e-02	-1.19362855325144e+01,1.13715852182336e+01	5.99379954506551e-01,-4.69363936081571e-01
5.01152619038949e+08	2.23695963068298e-01,-5.77261918506135e-01	2.18948615513054e-02,3.96572472341738e-02	-1.19337213363830e+01,1.13722298691726e+01	5.99271585674089e-01,-4.69388908387727e-01
5.01268026980261e+08	2.23553163218292e-01,-5.77284215851871e-01	2.19013526572665e-02,3.96616982739955e-02	-1.19311568535230e+01,1.13728739726846e+01	5.99163204554457e-01,-4.69413856782640e-01
5.01383461498293e+08	2.23410347676413e-01,-5.77306479601385e-01	2.19078446321357e-02,3.96661487527282e-02	-1.19285920919282e+01,1.13735175248481e+01	5.99054811448357e-01,-4.69438780999262e-01
5.01498922599165e+08	2.23267514369126e-01,-5.77328710307228e-01	2.19143375896096e-02,3.96705985377772e-02	-1.19260269947121e+01,1.13741605534092e+01	5.98946404146324e-01,-4.69463683134186e-01
5.01614410289000e+08	2.23124665985843e-01,-5.77350907209769e-01	2.19208313842805e-02,3.96750477973435e-02	-1.19234616347472e+01,1.13748030227774e+01	5.98837985459407e-01,-4.69488560556974e-01
5.01729924573919e+08	2.22981798072870e-01,-5.77373071515134e-01	2.19273262593648e-02,3.96794962483068e-02	-1.19208958902780e+01,1.13754449923008e+01	5.98729550668171e-01,-4.69513417724831e-01
5.01845465460048e+08	2.22838915699580e-01,-5.77395201810209e-01	2.19338219399458e-02,3.96839442093742e-02	-1.19183298990395e+01,1.13760863947884e+01	5.98621105093323e-01,-4.69538249646791e-01
5.01961032953512e+08	2.22696016792980e-01,-5.77417298646276e-01	2.19403185397112e-02,3.96883915478684e-02	-1.19157636041456e+01,1.13767272579522e+01	5.98512646525326e-01,-4.69563058417964e-01
5.02076627060439e+08	2.22553101985464e-01,-5.77439362957697e-01	2.19468159654920e-02,3.96928383597490e-02	-1.19131970481848e+01,1.13773675579408e+01	5.98404177449060e-01,-4.69587840374731e-01
5.02192247786957e+08	2.22410170610075e-01,-5.77461391528699e-01	2.19533144334436e-02,3.96972844283053e-02	-1.19106301353263e+01,1.13780073506554e+01	5.98295691611488e-01,-4.69612605441945e-01
5.02307895139197e+08	2.22267223948313e-01,-5.77483387369617e-01	2.19598136957497e-02,3.97017300058528e-02	-1.19080629773575e+01,1.13786465723892e+01	5.98187195865891e-01,-4.69637343162612e-01
5.02423569123289e+08	2.22124259604032e-01,-5.77505349990754e-01	2.19663139434009e-02,3.97061748813850e-02	-1.19054954828053e+01,1.13792852707089e+01	5.98078685819158e-01,-4.69662059025595e-01
5.02539269745368e+08	2.21981278208918e-01,-5.77527280326444e-01	2.19728150832430e-02,3.97106191508847e-02	-1.19029276942511e+01,1.13799234217857e+01	5.97970163956242e-01,-4.69686749369100e-01
5.02654997011566e+08	2.21838281799919e-01,-5.77549175548244e-01	2.19793171246314e-02,3.97150628263564e-02	-1.19003596153085e+01,1.13805610300218e+01	5.97861628716633e-01,-4.69711418360555e-01
5.02770750928021e+08	2.21695268630294e-01,-5.77571037241140e-01	2.19858201038953e-02,3.97195058531240e-02	-1.18977912237090e+01,1.13811981031132e+01	5.97753080076047e-01,-4.69736064695392e-01
5.02886531500868e+08	2.21552239330371e-01,-5.77592866341010e-01	2.19923239279093e-02,3.97239483272502e-02	-1.18952225620179e+01,1.13818346172855e+01	5.97644520518934e-01,-4.69760684714672e-01
5.03002338736247e+08	2.21409191506832e-01,-5.77614662353731e-01	2.19988287876243e-02,3.97283900374630e-02	-1.18926535387859e+01,1.13824706199702e+01	5.97535945653000e-01,-4.69785283900823e-01
5.03118172640298e+08	2.21266130219476e-01,-5.77636423883341e-01	2.20053344083551e-02,3.97328313031135e-02	-1.18900842916176e+01,1.13831060443940e+01	5.97427360792869e-01,-4.69809857280140e-01
5.03234033219162e+08	2.21123051022205e-01,-5.77658152120718e-01	2.20118410331787e-02,3.97372718403858e-02	-1.18875146988403e+01,1.13837409495347e+01	5.97318761223273e-01,-4.69834409294872e-01
5.03349920478981e+08	2.20979956597465e-01,-5.77679846317966e-01	2.20183485168779e-02,3.97417118178850e-02	-1.18849448332277e+01,1.13843753000917e+01	5.97210149750946e-01,-4.69858937326845e-01
5.03465834425901e+08	2.20836844876239e-01,-5.77701507018015e-01	2.20248569730781e-02,3.97461511025197e-02	-1.18823746379303e+01,1.13850091235736e+01	5.97101524168220e-01,-4.69883443462985e-01
5.03581775066066e+08	2.20693718539880e-01,-5.77723133475025e-01	2.20313662565851e-02,3.97505898629702e-02	-1.18798041857050e+01,1.13856423847285e+01	5.96992887280916e-01,-4.69907925087084e-01
5.03697742405624e+08	2.20550573467220e-01,-5.77744727913443e-01	2.20378765331137e-02,3.97550278935461e-02	-1.18772333894955e+01,1.13862751225754e+01	5.96884236559724e-01,-4.69932383246122e-01
5.03813736450723e+08	2.20407414391036e-01,-5.77766287906307e-01	2.20443876054044e-02,3.97594654355422e-02	-1.18746623522558e+01,1.13869072903748e+01	5.96775575131943e-01,-4.69956816365313e-01
5.03929757207514e+08	2.20264236869252e-01,-5.77787814636434e-01	2.20508997164619e-02,3.97639022047802e-02	-1.18720909523604e+01,1.13875389469093e+01	5.96666898284843e-01,-4.69981228879019e-01
5.04045804682146e+08	2.20121045955081e-01,-5.77809306719659e-01	2.20574125917566e-02,3.97683385210451e-02	-1.18695193273194e+01,1.13881700256915e+01	5.96558211328343e-01,-4.70005615825307e-01
5.04161878880774e+08	2.19977837207382e-01,-5.77830765336795e-01	2.20639264742814e-02,3.97727741000683e-02	-1.18669473555189e+01,1.13888005854574e+01	5.96449509550432e-01,-4.70029981636747e-01
5.04277979809551e+08	2.19834611253590e-01,-5.77852191425622e-01	2.20704412709513e-02,3.97772090380357e-02	-1.18643750794811e+01,1.13894306025382e+01	5.96340795433828e-01,-4.70054322660899e-01
5.04394107474633e+08	2.19691370450529e-01,-5.77873583205577e-01	2.20769569139693e-02,3.97816434253704e-02	-1.18618025373428e+01,1.13900600616020e+01	5.96232069598594e-01,-4.70078639675043e-01
5.04510261882177e+08	2.19548112731392e-01,-5.77894941214676e-01	2.20834735169326e-02,3.97860771287272e-02	-1.18592296722750e+01,1.13906889900382e+01	5.96123329838269e-01,-4.70102934761360e-01
5.04626443038341e+08	2.19404840773257e-01,-5.77916264714423e-01	2.20899909347576e-02,3.97905103170360e-02	-1.18566565569693e+01,1.13913173527740e+01	5.96014578955511e-01,-4.70127205311126e-01
5.04742650949284e+08	2.19261550458756e-01,-5.77937555919400e-01	2.20965093330664e-02,3.97949427842470e-02	-1.18540831044182e+01,1.13919451886363e+01	5.95905814423976e-01,-4.70151452365215e-01
5.04858885621169e+08	2.19118244144204e-01,-5.77958813050657e-01	2.21030286440893e-02,3.97993746207782e-02	-1.18515093527427e+01,1.13925724823085e+01	5.95797036862741e-01,-4.70175676700735e-01
5.04975147060158e+08	2.18974924185187e-01,-5.77980034331682e-01	2.21095488000800e-02,3.98038059170949e-02	-1.18489353400453e+01,1.13931992185102e+01	5.95688246889439e-01,-4.70199879095468e-01
5.05091435272415e+08	2.18831585054575e-01,-5.78001225732202e-01	2.21160698640486e-02,3.98082365514775e-02	-1.18463610182837e+01,1.13938254080054e+01	5.95579446026243e-01,-4.70224052780226e-01
5.05207750264105e+08	2.18688232568976e-01,-5.78022380041812e-01	2.21225918188497e-02,3.98126666026537e-02	-1.18437864167837e+01,1.13944510520928e+01	5.95470631163307e-01,-4.70248207382676e-01
5.05324092041395e+08	2.18544861202120e-01,-5.78043503227521e-01	2.21291147274547e-02,3.98170959488255e-02	-1.18412114875128e+01,1.13950761614929e+01	5.95361803823274e-01,-4.70272336132611e-01
5.05440460610454e+08	2.18401475039708e-01,-5.78064590797557e-01	2.21356385474553e-02,3.98215246745898e-02	-1.18386362641739e+01,1.13957007292298e+01	5.95252962759423e-01,-4.70296444232544e-01
